ensembl_id,gene_symbol,alias,alias_norm,source
ENSG00000261958,OR9G1,OR9G5,or9g5,ensembl:human
ENSG00000281777,OR9G2P,OR9G6,or9g6,ensembl:human
ENSG00000281313,OR5G1P,OR11-104,or11104,ensembl:human
ENSG00000281313,OR5G1P,OR5G2P,or5g2p,ensembl:human
ENSG00000281313,OR5G1P,OR93,or93,ensembl:human
ENSG00000281449,BCL2L14,BCL-G,bclg,ensembl:human
ENSG00000281107,OR5G3,OR5G3P,or5g3p,ensembl:human
ENSG00000281107,OR5G3,OR5G6P,or5g6p,ensembl:human
ENSG00000281324,LRP6,ADCAD2,adcad2,ensembl:human
ENSG00000288157,NPY4R2,CH17-360D5.1,ch17360d51,ensembl:human
ENSG00000288481,FAM25C,BA164N7.4,ba164n74,ensembl:human
ENSG00000288424,AGAP12P,BA164N7.2,ba164n72,ensembl:human
ENSG00000288424,AGAP12P,CTGLF12P,ctglf12p,ensembl:human
ENSG00000290627,AGAP12P,CTGLF12P,ctglf12p,ensembl:human
ENSG00000290627,AGAP12P,PTPN20CP,ptpn20cp,ensembl:human
ENSG00000288201,RNA5SP315,RN5S315,rn5s315,ensembl:human
ENSG00000288196,BMS1P7,BA164N7.1,ba164n71,ensembl:human
ENSG00000288196,BMS1P7,BMS1LP7,bms1lp7,ensembl:human
ENSG00000288196,BMS1P7,OTTHUMG00000018163,otthumg00000018163,ensembl:human
ENSG00000291426,TOLLIP,IL-1RACPIP,il1racpip,ensembl:human
ENSG00000291427,TOLLIP-DT,TOLLIP-AS1,tollipas1,ensembl:human
ENSG00000291428,BRSK2,C11ORF7,c11orf7,ensembl:human
ENSG00000291428,BRSK2,PEN11B,pen11b,ensembl:human
ENSG00000291428,BRSK2,SAD-A,sada,ensembl:human
ENSG00000291428,BRSK2,STK29,stk29,ensembl:human
ENSG00000206783,RNU6-545P,RNU6-292P,rnu6292p,ensembl:human
ENSG00000207477,RNU6-318P,RNU6-1295P,rnu61295p,ensembl:human
ENSG00000281818,MANSC1,FLJ10298,flj10298,ensembl:human
ENSG00000281818,MANSC1,LOH12CR3,loh12cr3,ensembl:human
ENSG00000291431,DUSP8,C11ORF81,c11orf81,ensembl:human
ENSG00000291431,DUSP8,FLJ42958,flj42958,ensembl:human
ENSG00000291431,DUSP8,HB5,hb5,ensembl:human
ENSG00000291431,DUSP8,HVH-5,hvh5,ensembl:human
ENSG00000291433,KRTAP5-1,KRN1L,krn1l,ensembl:human
ENSG00000291433,KRTAP5-1,KRTAP5.1,krtap51,ensembl:human
ENSG00000281234,LOH12CR2,LOH2CR12,loh2cr12,ensembl:human
ENSG00000291434,KRTAP5-2,KRTAP5-8,krtap58,ensembl:human
ENSG00000291434,KRTAP5-2,KRTAP5.2,krtap52,ensembl:human
ENSG00000291435,KRTAP5-3,KRTAP5-9,krtap59,ensembl:human
ENSG00000291435,KRTAP5-3,KRTAP5.3,krtap53,ensembl:human
ENSG00000291440,KRTAP5-4,KRTAP5.4,krtap54,ensembl:human
ENSG00000291443,KRTAP5-5,KRTAP5-11,krtap511,ensembl:human
ENSG00000291443,KRTAP5-5,KRTAP5.5,krtap55,ensembl:human
ENSG00000280689,BORCS5,LOH12CR1,loh12cr1,ensembl:human
ENSG00000280689,BORCS5,LOH1CR12,loh1cr12,ensembl:human
ENSG00000291437,FAM99A,FLJ42833,flj42833,ensembl:human
ENSG00000291438,FAM99B,DKFZP781M09150,dkfzp781m09150,ensembl:human
ENSG00000291442,MOB2,HCCA2,hcca2,ensembl:human
ENSG00000280962,DUSP16,KIAA1700,kiaa1700,ensembl:human
ENSG00000280962,DUSP16,MKP-7,mkp7,ensembl:human
ENSG00000288204,HMX1,H6,h6,ensembl:human
ENSG00000288204,HMX1,NKX5-3,nkx53,ensembl:human
ENSG00000291444,RBMY3AP,RBMY3P,rbmy3p,ensembl:human
ENSG00000291444,RBMY3AP,RBMY4P,rbmy4p,ensembl:human
ENSG00000291444,RBMY3AP,SPATA14,spata14,ensembl:human
ENSG00000291450,ELOCP4,TCEB1P4,tceb1p4,ensembl:human
ENSG00000291453,TTTY20,NCRNA00145,ncrna00145,ensembl:human
ENSG00000291456,FAM197Y7,FAM197Y7P,fam197y7p,ensembl:human
ENSG00000291459,TSPY9,TSPY9P,tspy9p,ensembl:human
ENSG00000291460,FAM197Y2,CYORF16,cyorf16,ensembl:human
ENSG00000291460,FAM197Y2,FAM197Y2P,fam197y2p,ensembl:human
ENSG00000291461,FAM197Y4,FAM197Y4P,fam197y4p,ensembl:human
ENSG00000291462,FAM197Y4,FAM197Y4P,fam197y4p,ensembl:human
ENSG00000288499,FAM20C,DKFZP547D065,dkfzp547d065,ensembl:human
ENSG00000288499,FAM20C,DMP4,dmp4,ensembl:human
ENSG00000288499,FAM20C,G-CK,gck,ensembl:human
ENSG00000288499,FAM20C,IMAGE:4942737,image4942737,ensembl:human
ENSG00000280963,SERTAD4-AS1,C1ORF133,c1orf133,ensembl:human
ENSG00000281230,SERTAD4,DJ667H12.2,dj667h122,ensembl:human
ENSG00000280680,HHAT,FLJ10724,flj10724,ensembl:human
ENSG00000280680,HHAT,GUP2,gup2,ensembl:human
ENSG00000280680,HHAT,MART-2,mart2,ensembl:human
ENSG00000280680,HHAT,RASP,rasp,ensembl:human
ENSG00000280680,HHAT,SIT,sit,ensembl:human
ENSG00000280680,HHAT,SKI,ski,ensembl:human
ENSG00000280680,HHAT,SKN,skn,ensembl:human
ENSG00000288263,GRK1,GPRK1,gprk1,ensembl:human
ENSG00000288263,GRK1,RHOK,rhok,ensembl:human
ENSG00000288263,GRK1,RK,rk,ensembl:human
ENSG00000280937,BPNT2P1,BPNT2P,bpnt2p,ensembl:human
ENSG00000291381,ARHGEF19,FLJ33962,flj33962,ensembl:human
ENSG00000291381,ARHGEF19,WGEF,wgef,ensembl:human
ENSG00000291404,ANO7L1,ANO7P1,ano7p1,ensembl:human
ENSG00000291404,ANO7L1,C1ORF224,c1orf224,ensembl:human
ENSG00000291404,ANO7L1,TMEM16M,tmem16m,ensembl:human
ENSG00000291382,CPLANE2,C1ORF89,c1orf89,ensembl:human
ENSG00000291382,CPLANE2,MGC10731,mgc10731,ensembl:human
ENSG00000291382,CPLANE2,RSG1,rsg1,ensembl:human
ENSG00000291377,MT1XP1,MTL1,mtl1,ensembl:human
ENSG00000291375,FBXO42,FBX42,fbx42,ensembl:human
ENSG00000291375,FBXO42,KIAA1332,kiaa1332,ensembl:human
ENSG00000291379,SZRD1,C1ORF144,c1orf144,ensembl:human
